Country,Clicks,Impressions,CTR,Position
Malaysia,46,2308,1.99%,38.12
Taiwan,3,26,11.54%,6.88
Cambodia,3,19,15.79%,7.05
Hong Kong,1,13,7.69%,24.38
United States,0,309,0%,7.78
Singapore,0,64,0%,8.7
China,0,22,0%,11.5
United Kingdom,0,20,0%,7.55
India,0,15,0%,7.53
Philippines,0,15,0%,45.33
Canada,0,12,0%,5.83
Indonesia,0,11,0%,8.18
Brazil,0,10,0%,7.3
Vietnam,0,10,0%,9.6
Seychelles,0,7,0%,4.29
Netherlands,0,6,0%,6.67
Myanmar (Burma),0,6,0%,7.33
Mexico,0,6,0%,9.67
Thailand,0,4,0%,11.25
Spain,0,3,0%,4.33
France,0,3,0%,7.67
Australia,0,3,0%,16.33
Pakistan,0,2,0%,2
South Korea,0,2,0%,3.5
Ecuador,0,2,0%,4.5
Italy,0,2,0%,8
Sweden,0,2,0%,9.5
Germany,0,2,0%,10
Japan,0,2,0%,10.5
Colombia,0,2,0%,13
Bangladesh,0,2,0%,18.5
Saudi Arabia,0,2,0%,26
Finland,0,1,0%,1
Ireland,0,1,0%,1
Turkey,0,1,0%,2
Portugal,0,1,0%,4
Venezuela,0,1,0%,4
Bolivia,0,1,0%,5
Jordan,0,1,0%,6
New Zealand,0,1,0%,6
Tunisia,0,1,0%,6
Ukraine,0,1,0%,6
Kuwait,0,1,0%,7
Estonia,0,1,0%,8
Latvia,0,1,0%,8
Morocco,0,1,0%,8
Poland,0,1,0%,8
Kazakhstan,0,1,0%,9
Macedonia,0,1,0%,9
Costa Rica,0,1,0%,10
Czechia,0,1,0%,10
Slovakia,0,1,0%,10
Uzbekistan,0,1,0%,10
South Africa,0,1,0%,11
Zimbabwe,0,1,0%,14
Argentina,0,1,0%,17
Egypt,0,1,0%,34
Guatemala,0,1,0%,40
